                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.0649,                0.57494,                0.89227,                0.46359,                0.59745,                0.53962,                0.36322,                0.93046,                0.40688,                 1.0031,               0.006535,               0.006535,               0.006535
                     38,                 1.0581,                0.56911,                0.89136,                0.47292,                0.56611,                0.52744,                0.35115,                0.92327,                 0.3833,                 1.0043,               0.006436,               0.006436,               0.006436
                     39,                  1.059,                0.56502,                 0.8894,                 0.5386,                0.53498,                0.54098,                0.36384,                0.92574,                0.39077,                 1.0028,               0.006337,               0.006337,               0.006337
                     40,                 1.0498,                0.56266,                0.88937,                0.77181,                 0.4652,                0.51157,                0.35308,                0.93613,                0.41373,                  1.016,               0.006238,               0.006238,               0.006238
                     41,                 1.0482,                0.56064,                0.88625,                0.47051,                0.51396,                0.50738,                0.34854,                0.92018,                0.40222,                 1.0083,               0.006139,               0.006139,               0.006139
                     42,                 1.0379,                0.55308,                0.88827,                0.69714,                0.46287,                0.47464,                0.33614,                0.91331,                0.41038,                0.99458,                0.00604,                0.00604,                0.00604
                     43,                 1.0432,                0.55389,                0.88746,                0.47486,                0.53465,                0.51337,                0.35195,                0.94314,                0.40955,                 1.0121,               0.005941,               0.005941,               0.005941
                     44,                  1.033,                0.54857,                0.88735,                0.49085,                0.53208,                0.53526,                0.36115,                0.91254,                0.41916,                0.99557,               0.005842,               0.005842,               0.005842
                     45,                 1.0343,                0.54791,                0.88528,                0.49439,                0.55909,                0.54225,                0.36183,                0.92346,                0.40632,                 1.0023,               0.005743,               0.005743,               0.005743
                     46,                 1.0342,                0.54502,                  0.885,                0.47604,                0.53491,                0.52538,                 0.3545,                0.93033,                0.42995,                 1.0052,               0.005644,               0.005644,               0.005644
                     47,                 1.0285,                0.54155,                0.88395,                 0.4549,                0.54511,                0.50996,                0.34551,                0.92843,                0.42761,                 1.0045,               0.005545,               0.005545,               0.005545
                     48,                 1.0198,                0.53882,                0.88272,                0.51308,                0.57967,                0.54619,                0.36045,                0.90848,                 0.3973,                 1.0011,               0.005446,               0.005446,               0.005446
                     49,                  1.024,                0.53828,                0.88429,                0.48523,                0.56159,                0.53313,                0.36123,                0.89917,                0.40682,                 0.9956,               0.005347,               0.005347,               0.005347
                     50,                 1.0145,                0.53199,                0.87719,                0.46693,                0.54021,                0.50921,                0.34994,                0.91103,                0.38441,                0.99623,               0.005248,               0.005248,               0.005248
                     51,                  1.023,                0.53585,                0.88289,                  0.514,                0.56288,                0.53625,                0.35916,                0.90121,                0.38884,                0.98919,               0.005149,               0.005149,               0.005149
                     52,                 1.0143,                0.53376,                0.88093,                0.48127,                 0.5284,                0.50992,                0.34883,                0.91942,                0.40372,                0.99778,                0.00505,                0.00505,                0.00505
                     53,                 1.0077,                0.52466,                0.87862,                0.49659,                0.54656,                0.52645,                0.36199,                0.91954,                0.40341,                0.99733,               0.004951,               0.004951,               0.004951
                     54,                 1.0084,                0.52624,                0.88141,                0.49569,                0.56041,                 0.5261,                0.36054,                0.90545,                0.39833,                0.99713,               0.004852,               0.004852,               0.004852
                     55,                 1.0022,                 0.5186,                0.88028,                0.52041,                0.54524,                0.52509,                0.35884,                0.90188,                0.39038,                0.99559,               0.004753,               0.004753,               0.004753
                     56,                 1.0064,                0.52446,                0.87897,                0.51744,                0.55431,                0.53048,                0.35752,                0.91116,                0.39575,                 1.0013,               0.004654,               0.004654,               0.004654
                     57,                0.99666,                0.51742,                0.87482,                0.50974,                0.54816,                0.52607,                0.35597,                0.90634,                0.39098,                 0.9997,               0.004555,               0.004555,               0.004555
                     58,                0.99129,                0.51109,                0.87475,                0.50609,                0.54099,                0.52187,                0.35161,                0.91739,                0.40571,                 1.0036,               0.004456,               0.004456,               0.004456
                     59,                0.99472,                0.51255,                0.87494,                0.48963,                0.52069,                0.50559,                0.34079,                0.90708,                0.41037,                      1,               0.004357,               0.004357,               0.004357
                     60,                0.99155,                0.51197,                0.87242,                0.49603,                0.51826,                0.51268,                0.34995,                 0.9089,                0.40724,                 1.0021,               0.004258,               0.004258,               0.004258
                     61,                0.97687,                0.50454,                0.87238,                0.47748,                0.57925,                0.52668,                0.34836,                0.91664,                 0.3856,                 1.0067,               0.004159,               0.004159,               0.004159
                     62,                0.98933,                0.50847,                0.87527,                0.49787,                0.58439,                 0.5243,                0.34974,                0.90431,                0.37566,                 1.0007,                0.00406,                0.00406,                0.00406
